date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:56	33087/33087	---M--	200	added ('OK')	text/html	etag:%22813f-5aad083a91fd7%22	http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html	(from )
15:41:56	214/214	---M--	302	error ('Found')	text/html	date:Wed,%2016%20Sep%202020%2010:11:55%20GMT	http://bootstrap-ecommerce.com/robots.txt		(from )
15:41:56	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5952fc4b8cc00%22	http://bootstrap-ecommerce.com/templates/alistyle-html/images/favicon.ico	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/images/favicon.ico	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:41:58	227772/227772	---M-Z	200	added ('OK')	text/css	etag:%22379bc-5aaca243322c0-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/css/bootstrap.css?v=2.0	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/css/bootstrap3661.css	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:41:59	55179/55179	---M-Z	200	added ('OK')	text/css	etag:%22d78b-59840c317d080-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/fonts/fontawesome/css/all.min.css	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:41:59	30390/30390	---M-Z	200	added ('OK')	text/css	etag:%2276b6-5aaca243322c0-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/css/ui.css?v=2.0	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/css/ui3661.css	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:42:00	3567/3567	---M-Z	200	added ('OK')	text/css	etag:%22def-5aaca243322c0-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/css/responsive.css?v=2.0	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/css/responsive3661.css	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:42:00	83095/83095	---M-Z	200	added ('OK')	application/javascript	etag:%2214497-59483c27aaf00-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/js/jquery-2.0.0.min.js	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/js/jquery-2.0.0.min.js	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:42:00	2520/2520	---M-Z	200	added ('OK')	application/javascript	etag:%229d8-5aac639970b80-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/js/script.js?v=2.0	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/js/script3661.js	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
15:42:00	70966/70966	---M-Z	200	added ('OK')	application/javascript	etag:%2211536-59483c27aaf00-gzip%22	http://bootstrap-ecommerce.com/templates/alistyle-html/js/bootstrap.bundle.min.js	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/js/bootstrap.bundle.min.js	(from http://bootstrap-ecommerce.com/templates/alistyle-html/page-index-1.html)
